species,eventDate,locality,decimalLongitude,decimalLatitude
Puma concolor,2019-04-24T02:12:33,,"-83.862023","9.980606"
Puma concolor,2024-10-04,,"-85.608252","10.876291"
Puma concolor,2024-10-02T05:41,,"-84.381533","9.614115"
Puma concolor,2024-09-06T14:54:21,,"-83.546646","8.531232"
Puma concolor,2024-08-26T21:26,,"-84.00935","10.429334"
Puma concolor,2011-01-30,,"-83.50279","8.457798"
Puma concolor,2018-02-12T09:57:13,,"-83.733872","8.620208"
Puma concolor,2024-07-15T12:26:50,,"-85.060768","9.865877"
Puma concolor,2018-02-12T02:57:07,,"-83.733795","8.62018"
Puma concolor,2024-02-01T15:40,,"-84.275604","10.012335"
Puma concolor,2024-02-20T12:22:26,,"-83.732378","8.639435"
Puma concolor,2024-05-16,,"-83.729549","8.638793"
Puma concolor,2021-09-05T10:38,,"-83.731624","8.640474"
Puma concolor,2022-04-28,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2022-04-16,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2019-01-01,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2019-05-30,RANCHO QUEMADO,"-83.55246","8.70394"
Puma concolor,2018-03-25,AGUA BUENA-RINCŒ,"-83.50129","8.69628"
Puma concolor,2019-05-18,RANCHO QUEMADO,"-83.55246","8.70394"
Puma concolor,2018-03-25,AGUA BUENA-RINCŒ,"-83.50129","8.69628"
Puma concolor,2022-04-30,Estacizxperimental Forestal Horizontes,"-85.572084","10.738537"
Puma concolor,2017-06-05,MOGOS,"-83.39592","8.74223"
Puma concolor,2021-04-30,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2021-07-29,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2019-04-02,MOGOS,"-83.40155","8.74807"
Puma concolor,2019-05-02,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2023-06-09,RINCON,"-83.49329","8.70584"
Puma concolor,2022-04-07,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2023-02-18,SIERPE,"-83.49311","8.81811"
Puma concolor,2018-03-25,AGUA BUENA-RINCŒ,"-83.50129","8.69628"
Puma concolor,2019-05-29,MOGOS,"-83.39588","8.74224"
Puma concolor,2019-05-24,MOGOS,"-83.40155","8.74807"
Puma concolor,2022-03-18,RINCON,"-83.49377","8.70544"
Puma concolor,2019-04-01,MOGOS,"-83.40155","8.74807"
Puma concolor,,RANCHO QUEMADO,"-83.55243","8.70389"
Puma concolor,2019-04-17,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2021-04-12,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2019-05-17,MOGOS,"-83.40155","8.74807"
Puma concolor,2019-04-29,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2022-04-11,RINCON,"-83.49307","8.70573"
Puma concolor,2019-05-10,MOGOS,"-83.40155","8.74807"
Puma concolor,2022-03-18,RINCON,"-83.49377","8.70544"
Puma concolor,2018-04-03,MOGOS,"-83.40155","8.74807"
Puma concolor,2019-04-23,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2019-05-24,MOGOS,"-83.40155","8.74807"
Puma concolor,2018-02-25,MOGOS,"-83.40298","8.74121"
Puma concolor,2021-05-07,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2019-06-07,MOGOS,"-83.40155","8.74807"
Puma concolor,2019-02-14,AGUA BUENA-RINCŒ,"-83.50129","8.69628"
Puma concolor,2022-05-10,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2023-06-09,RINCON,"-83.49329","8.70584"
Puma concolor,2019-03-26,RANCHO QUEMADO,"-83.57434","8.68475"
Puma concolor,2019-04-01,MOGOS,"-83.40155","8.74807"
Puma concolor,2018-05-17,MOGOS,"-83.40155","8.74807"
Puma concolor,2021-07-29,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2021-04-18,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2022-04-03,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2021-04-12,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2022-04-06,Estacizxperimental Forestal Horizontes,"-85.572084","10.738537"
Puma concolor,2022-04-07,RINCON,"-83.49307","8.70573"
Puma concolor,2018-03-25,AGUA BUENA-RINCŒ,"-83.50129","8.69628"
Puma concolor,2019-05-29,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2019-01-01,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2022-04-03,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2018-05-25,MOGOS,"-83.40155","8.74807"
Puma concolor,2019-05-08,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2022-05-24,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2018-05-04,MOGOS,"-83.40155","8.74807"
Puma concolor,2019-04-03,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2022-04-28,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2021-04-30,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2019-05-30,RANCHO QUEMADO,"-83.55246","8.70394"
Puma concolor,2019-05-02,RANCHO QUEMADO,"-83.58411","8.67738"
Puma concolor,2019-05-10,MOGOS,"-83.40155","8.74807"
Puma concolor,2019-04-16,RANCHO QUEMADO,"-83.5835","8.68927"
Puma concolor,2019-02-14,AGUA BUENA-RINCŒ,"-83.50129","8.69628"
Puma concolor,2019-03-14,RANCHO QUEMADO,"-83.57298","8.67672"
Puma concolor,2022-04-06,Estacizxperimental Forestal Horizontes,"-85.572084","10.738537"
Puma concolor,2023-02-22,SIERPE,"-83.49311","8.81811"
Puma concolor,2022-04-06,Estacizxperimental Forestal Horizontes,"-85.572084","10.738537"
Puma concolor,2019-03-14,RANCHO QUEMADO,"-83.57298","8.67672"
Puma concolor,2022-05-24,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2021-04-12,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2022-05-10,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2019-05-10,MOGOS,"-83.40155","8.74807"
Puma concolor,2022-05-24,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2019-04-01,MOGOS,"-83.40155","8.74807"
Puma concolor,2021-05-22,BAJO SAN JUAN,"-83.52418","8.73739"
Puma concolor,2021-03-04,RANCHO QUEMADO,"-83.55255","8.704"
Puma concolor,2022-04-03,Estacizxperimental Forestal Horizontes,"-85.560203","10.763197"
Puma concolor,2019-04-01,MOGOS,"-83.40155","8.74807"
Puma concolor,2019-05-17,MOGOS,"-83.40155","8.74807"
Puma concolor,2021-04-12,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2018-03-15,MOGOS,"-83.40155","8.74807"
Puma concolor,2019-04-16,RANCHO QUEMADO,"-83.5835","8.68927"
Puma concolor,2019-05-24,MOGOS,"-83.40155","8.74807"
Puma concolor,2021-04-12,Estacizxperimental Forestal Horizontes,"-85.5949","10.726964"
Puma concolor,2017-05-15,MOGOS,"-83.39592","8.74223"
Puma concolor,2019-05-17,MOGOS,"-83.40155","8.74807"
