Cantón,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
San José,0.665614766583504,0.673296386572689,0.67570709591847,0.642512983048994,0.678173034364334,0.640279600888403,0.637554293921204,0.635095230246523,0.632998759983125,0.628991674942212,0.627900795068025
Escazú,0.661252540389601,0.661949270544513,0.663885959688727,0.692453109122455,0.666604130865925,0.694699140920984,0.695005332229153,0.695185581206195,0.694179798733854,0.693877948663318,0.693797629671201
Desamparados,0.616621234741121,0.616542313685966,0.61971738960037,0.618959023305239,0.624333073724592,0.623025992645912,0.623807206710736,0.624035704552429,0.623563640227312,0.62170240156471,0.621453773793801
Puriscal,0.507156720673687,0.509020840740792,0.515601922488928,0.489759348027113,0.528026302754153,0.502864120443481,0.506214566106997,0.50947549045675,0.515967194339953,0.515241273845346,0.517467127342744
Tarrazú,0.441826169427803,0.454395250063353,0.464647726021331,0.447381813234962,0.482974788697295,0.429718962950216,0.432258767103872,0.435538729012712,0.441832984689455,0.440855831975807,0.438707894907578
Aserrí,0.582927447531621,0.583587707709636,0.58698225604463,0.632388406445148,0.591368119254831,0.640008096506526,0.644395542698463,0.648668452883981,0.650819804996241,0.653926795240531,0.656896441238103
Mora,0.582078562951394,0.587103333439061,0.592593223042217,0.60012720845594,0.601615546930134,0.598709145353509,0.598663928331816,0.597581868020221,0.595157778497346,0.589510186107416,0.591071758059047
Goicoechea,0.662234161604357,0.662150826045395,0.665199942872895,0.65002520411424,0.669834694785101,0.653844626930591,0.652355693396846,0.648943060504462,0.645855804782233,0.641973125765576,0.641543389850221
Santa Ana,0.633613995146387,0.635065606309909,0.635246504700309,0.642498432181782,0.63523234186421,0.645691866314965,0.648317895654401,0.65007436695857,0.650605118883579,0.6522826317565,0.65301396825706
Alajuelita,0.558870195356297,0.563888561664855,0.568319196872791,0.624142573672858,0.577346479536678,0.633335640592578,0.636501758880928,0.638702059074218,0.639811366263498,0.641355118738365,0.642927651309849
