"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.415886119814","101.306934193928","100.263872034947","99.178700069112","99.8657509476919","96.4082015091485","94.8058144092437","93.0860716617329","90.8043303764646","88.285642366469","85.5589181903076","82.5032475217854","79.3705394867354","76.2023025439","73.0265397537664","70.018171364779","67.2858567769122","64.6078937074377","62.0124403425031","59.7313397767738","57.6301407223548","55.5949800647381","53.7132202169401","52.0281450659526","50.5185854916903","49.1370605542711","47.7925648637451","46.4228525409571","45.0873693467249","43.8966995613375","42.8588881720741","41.8238205975898","40.7976245515238","",
"Afganistán","AFG","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","231.4","227.6","223.9","220","216.5","212.9","209.3","205.6","202.1","198.5","194.8","191.2","187.5","183.8","180","176.1","172.2","168.1","164","159.8","155.6","151.2","147.1","143","138.9","134.7","130.6","126.5","122.5","118.7","115.1","111.8","108.6","105.5","102.7","99.9","97.2","94.6","92","89.3","86.6","83.7","80.9","78","75.1","72.3","69.6","67","64.6","62.3","60.1","58.1","56.2","54.6","53","51.5","50.1","48.8","47.4","46.1","44.8","",
"","AFW","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.6206378682","112.724312788677","111.947033917647","111.193800359658","110.31756890062","109.111636701958","107.685226659764","105.877612967079","103.816386976554","101.541373437055","99.0034981042379","96.3960770897031","93.731038293456","91.0166248111633","88.3068567973863","85.6584281014998","83.2387093579615","80.9359068969999","78.8609959855245","76.9727977045254","75.231785014529","73.709518519225","72.2853614501668","70.9359685424433","69.8470233953042","68.6722268992438","67.4934964072205","66.3046020873175","65.0073985216766","63.598750347799","62.1598631508913","60.6793347332485","59.1300287464564","",
"Angola","AGO","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","141.8","140.2","138.5","136.9","135.6","134.6","133.8","133.1","132.5","132.3","132.1","131.9","131.7","131.5","131.1","130.6","129.5","128","125.9","123.5","120.7","117.5","113.7","109.5","104.9","100.2","95.1","90","85","80","75.5","71","66.9","63.3","60.3","57.6","55.4","53.4","51.6","49.9","48.4","47","45.7","",
"Albania","ALB","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","76.8","71.3","66","61.3","57","53","49.5","46.3","43.4","40.9","38.7","36.9","35.2","33.9","32.7","31.6","30.6","29.5","28.5","27.4","26.3","25.2","24","22.9","21.6","20.4","19.1","17.8","16.5","15.3","14.1","12.9","11.9","10.8","10","9.3","8.8","8.5","8.4","8.3","8.3","8.3","8.4","8.4","8.4","",
"Andorra","AND","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","10.2","10.1","9.8","9.6","9.4","9.1","8.9","8.6","8.4","8.1","7.9","7.6","7.3","7.1","6.8","6.5","6.3","6","5.8","5.6","5.3","5.1","4.9","4.7","4.4","4.3","4.1","3.9","3.7","3.5","3.4","3.2","3.1","3","2.9","2.8","2.7","2.6","",
"El mundo árabe","ARB","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6895815631497","57.1250213321694","55.2869763875456","53.711236663188","52.2190582021871","50.8272511589499","49.3254651299118","47.9045222663812","46.4909272621813","45.1192395897767","43.7060681169044","42.2971084852385","41.0016573622817","39.7154126018767","38.5123121269329","37.3597111802693","36.2268966076099","34.9433920471697","33.7747464949981","32.6792092216652","31.5447631571276","30.6936151960621","30.1668706434488","29.4551561066128","28.648471689288","28.0456456398904","27.4713618238956","26.8932613327717","26.4449549512885","25.729853372542","25.0142508021769","24.580502726064","23.971367940196","",
"Emiratos Árabes Unidos","ARE","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","39.2","35.3","31.7","28.5","25.6","23.2","21","19.2","17.6","16.2","15","14","13.1","12.3","11.6","11","10.5","10.1","9.7","9.4","9.1","8.9","8.7","8.5","8.4","8.2","8.1","8","7.8","7.7","7.5","7.4","7.3","7.1","7","6.8","6.7","6.5","6.3","6.1","5.9","5.6","5.3","5","4.8","4.5","4.3","",
"Argentina","ARG","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","59.5","58.9","58.3","57.5","56.4","54.8","52.8","50.1","47","43.6","40.1","36.9","34.2","31.9","29.9","28.2","26.9","26.1","25.7","25.6","25.6","25.4","25.1","24.4","23.6","22.6","21.5","20.5","19.5","18.7","17.9","17.3","16.8","16.4","15.9","15.4","15","14.5","14.1","13.8","13.4","12.9","12.4","11.9","11.4","10.9","10.5","10.1","9.8","9.5","9.2","8.9","8.6","8.4","",
"Armenia","ARM","Tasa de mortalidad infantil (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","70","67.5","65","62.6","60.3","58.1","56","54.1","52.1","50.3","48.5","46.8","63.4","43.4","41.7","40.1","38.5","36.9","35.3","33.8","32.3","30.9","29.5","28.2","27","25.7","24.6","23.4","22.3","21.2","20.2","19.2","18.3","17.4","16.6","15.8","15","14.3","13.6","12.9","12.3","11.7","11.1","10.6","10.1","9.6","9.2","",
